dataset,sample_id,modal,natoms,case,repeat_idx,timing_ms,resolved_policy,n_warmup,n_repeat,device
iso17,iso17,spice,19,flash_pair_auto,8,13.727601151913404,geometry_only,3,10,cuda
iso17,iso17,spice,19,flash_pair_auto,9,13.660689117386937,geometry_only,3,10,cuda
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,flash_baseline,0,13.645303901284933,baseline,3,10,cuda
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,flash_baseline,1,13.416892848908901,baseline,3,10,cuda
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,flash_baseline,2,13.507405994459987,baseline,3,10,cuda
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,flash_baseline,3,13.378999894484878,baseline,3,10,cuda
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,flash_baseline,4,13.428105972707272,baseline,3,10,cuda
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,flash_baseline,5,13.389193918555975,baseline,3,10,cuda
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,flash_baseline,6,13.352212961763144,baseline,3,10,cuda
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,flash_baseline,7,13.39965290389955,baseline,3,10,cuda
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,flash_baseline,8,13.396259862929583,baseline,3,10,cuda
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,flash_baseline,9,13.370825909078121,baseline,3,10,cuda
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,flash_pair_auto,0,16.049569938331842,geometry_only,3,10,cuda
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,flash_pair_auto,1,16.089539043605328,geometry_only,3,10,cuda
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,flash_pair_auto,2,15.840529929846525,geometry_only,3,10,cuda
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,flash_pair_auto,3,16.657493077218533,geometry_only,3,10,cuda
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,flash_pair_auto,4,15.471575083211064,geometry_only,3,10,cuda
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,flash_pair_auto,5,16.202641883865,geometry_only,3,10,cuda
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,flash_pair_auto,6,15.75323287397623,geometry_only,3,10,cuda
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,flash_pair_auto,7,16.05559792369604,geometry_only,3,10,cuda
md22_ac_ala3_nhme,md22_Ac-Ala3-NHMe_4756,spice,42,flash_pair_auto,8,15.888632973656058,geometry_only,3,10,cuda
