dataset,sample_id,modal,natoms,case,repeat_idx,timing_ms,resolved_policy,n_warmup,n_repeat,device
ani1ccx,055:0,spice,55,e3nn_baseline,0,32.02142706140876,baseline,3,30,cuda
ani1ccx,055:0,spice,55,e3nn_baseline,1,31.98265610262752,baseline,3,30,cuda
ani1ccx,055:0,spice,55,e3nn_baseline,2,31.777066877111796,baseline,3,30,cuda
ani1ccx,055:0,spice,55,e3nn_baseline,3,31.66317008435726,baseline,3,30,cuda
ani1ccx,055:0,spice,55,e3nn_baseline,4,31.78970795124769,baseline,3,30,cuda
ani1ccx,055:0,spice,55,e3nn_baseline,5,31.825101003050804,baseline,3,30,cuda
ani1ccx,055:0,spice,55,e3nn_baseline,6,31.354417093098164,baseline,3,30,cuda
ani1ccx,055:0,spice,55,e3nn_baseline,7,31.292347935959697,baseline,3,30,cuda
ani1ccx,055:0,spice,55,e3nn_baseline,8,31.242244876921177,baseline,3,30,cuda
ani1ccx,055:0,spice,55,e3nn_baseline,9,31.12618811428547,baseline,3,30,cuda
ani1ccx,055:0,spice,55,e3nn_baseline,10,31.247494043782357,baseline,3,30,cuda
ani1ccx,055:0,spice,55,e3nn_baseline,11,31.32933797314763,baseline,3,30,cuda
ani1ccx,055:0,spice,55,e3nn_baseline,12,31.172551913186908,baseline,3,30,cuda
ani1ccx,055:0,spice,55,e3nn_baseline,13,31.15757997147739,baseline,3,30,cuda
ani1ccx,055:0,spice,55,e3nn_baseline,14,31.41053207218647,baseline,3,30,cuda
ani1ccx,055:0,spice,55,e3nn_baseline,15,31.313068000599745,baseline,3,30,cuda
ani1ccx,055:0,spice,55,e3nn_baseline,16,31.365883070975546,baseline,3,30,cuda
ani1ccx,055:0,spice,55,e3nn_baseline,17,31.89505683258176,baseline,3,30,cuda
ani1ccx,055:0,spice,55,e3nn_baseline,18,31.426011119037867,baseline,3,30,cuda
ani1ccx,055:0,spice,55,e3nn_baseline,19,31.4591689966619,baseline,3,30,cuda
ani1ccx,055:0,spice,55,e3nn_baseline,20,31.71550901606679,baseline,3,30,cuda
ani1ccx,055:0,spice,55,e3nn_baseline,21,31.574878841638565,baseline,3,30,cuda
ani1ccx,055:0,spice,55,e3nn_baseline,22,31.424207845702767,baseline,3,30,cuda
ani1ccx,055:0,spice,55,e3nn_baseline,23,31.38024010695517,baseline,3,30,cuda
ani1ccx,055:0,spice,55,e3nn_baseline,24,31.222800025716424,baseline,3,30,cuda
ani1ccx,055:0,spice,55,e3nn_baseline,25,31.579248839989305,baseline,3,30,cuda
ani1ccx,055:0,spice,55,e3nn_baseline,26,31.31985804066062,baseline,3,30,cuda
ani1ccx,055:0,spice,55,e3nn_baseline,27,31.264730961993337,baseline,3,30,cuda
ani1ccx,055:0,spice,55,e3nn_baseline,28,31.26088716089725,baseline,3,30,cuda
ani1ccx,055:0,spice,55,e3nn_baseline,29,31.521596014499664,baseline,3,30,cuda
ani1ccx,055:0,spice,55,e3nn_pair_full,0,47.96743299812079,full,3,30,cuda
ani1ccx,055:0,spice,55,e3nn_pair_full,1,47.68682806752622,full,3,30,cuda
ani1ccx,055:0,spice,55,e3nn_pair_full,2,47.66114102676511,full,3,30,cuda
ani1ccx,055:0,spice,55,e3nn_pair_full,3,47.557050129398704,full,3,30,cuda
ani1ccx,055:0,spice,55,e3nn_pair_full,4,47.42081509903073,full,3,30,cuda
ani1ccx,055:0,spice,55,e3nn_pair_full,5,47.92546504177153,full,3,30,cuda
ani1ccx,055:0,spice,55,e3nn_pair_full,6,47.36466589383781,full,3,30,cuda
ani1ccx,055:0,spice,55,e3nn_pair_full,7,47.74416307918728,full,3,30,cuda
